Source,Authors,Title,Year,Source.title,Volume,Issue,Page.start,Page.end,DOI,Link,reviewer1,reviewer2,Include?,Reason,broiler?,Marine,Aquatic,Fish,Chicken,Tadpoles,Hen,Penguin
Scopus,"Lajnaf, R., Picart-Palmade, L., Cases, E., Attia, H., Marchesseau, S., Ayadi, M.A.",The foaming properties of camel and bovine whey: The impact of pH and heat treatment,2018,Food Chemistry,240,,295,303,10.1016/j.foodchem.2017.07.064,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026374426&doi=10.1016%2fj.foodchem.2017.07.064&partnerID=40&md5=9ff21ede7bc02e1a8c5de26e84262409,A,D,No,Irrelevant (food chemistry),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Scopus,"Hinderer, R.K., Litt, A.R., McCaffery, M.",Movement of Imperiled Chiricahua Leopard Frogs during Summer Monsoons,2017,Journal of Herpetology,51,4,497,503,10.1670/16-093,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029598281&doi=10.1670%2f16-093&partnerID=40&md5=745eaa41b18aeb8cc9a68abbd22f8489,D,A,Maybe,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Scopus,"Knox, C.D., Jarvie, S., Easton, L.J., Monks, J.M.","Soft-Release, but Not Cool Winter Temperatures, Reduces Post-Translocation Dispersal of Jewelled Geckos",2017,Journal of Herpetology,51,4,490,496,10.1670/16-078,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029595071&doi=10.1670%2f16-078&partnerID=40&md5=ae762c032840818239d864a2cab45196,A,D,Yes,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Scopus,"Liu, Y., Xia, L., Jia, H., Li, Q., Jin, W., Dong, X., Pan, J.",Physiochemical and functional properties of chum salmon (Oncorhynchus keta) skin gelatin extracted at different temperatures,2017,Journal of the Science of Food and Agriculture,97,15,5406,5413,10.1002/jsfa.8431,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020458791&doi=10.1002%2fjsfa.8431&partnerID=40&md5=65eb9920cbbdd8a6e4b68e83da9d5020,D,C,No,Irrelevant (not behaviour),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Scopus,"Samson, D.R., Crittenden, A.N., Mabulla, I.A., Mabulla, A.Z.P.",The evolution of human sleep: Technological and cultural innovation associated with sleep-wake regulation among Hadza hunter-gatherers,2017,Journal of Human Evolution,113,,91,102,10.1016/j.jhevol.2017.08.005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032925367&doi=10.1016%2fj.jhevol.2017.08.005&partnerID=40&md5=f84c5eea30490492707997c2ce178873,D,C,No,Irrelevant (humans),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Scopus,"Alhenaky, A., Abdelqader, A., Abuajamieh, M., Al-Fataftah, A.-R.",The effect of heat stress on intestinal integrity and Salmonella invasion in broiler birds,2017,Journal of Thermal Biology,70,,9,14,10.1016/j.jtherbio.2017.10.015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032722523&doi=10.1016%2fj.jtherbio.2017.10.015&partnerID=40&md5=62ad2de2514fc49bdda5a6cf4d125fa9,D,C,No,Irrelevant (not behaviour),TRUE,,FALSE,FALSE,FALSE,FALSE,,
Scopus,"Gupta, R.K., Raghav, A., Sharma, A., Gupta, K., Neelabh, Mandal, P., Tripathi, A., Ansari, I.A., Das, M., Dwivedi, P.D.",Glycation of clinically relevant chickpea allergen attenuates its allergic immune response in Balb/c mice,2017,Food Chemistry,235,,244,256,10.1016/j.foodchem.2017.05.056,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019635156&doi=10.1016%2fj.foodchem.2017.05.056&partnerID=40&md5=004f994bd6164c512e01fd353587b783,D,A,No,Irrelevant (not behaviour),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Scopus,"Chang, C.-H., Lin, J.-Y., Lo, W.-Y., Lee, T.-H.","Hypothermal stress induced differential expression profiles of the immune response gene, warm-temperature-acclimation associated 65-kDa protein (Wap65), in the liver of fresh water and seawater milkfish, Chanos chanos",2017,Fish and Shellfish Immunology,70,,174,184,10.1016/j.fsi.2017.09.012,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028937054&doi=10.1016%2fj.fsi.2017.09.012&partnerID=40&md5=c825168ae7716e11def6148c363fa280,D,A,No,Irrelevant (not behaviour),FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,
Scopus,"Ehl, J., Vuki?, J., Kratochvíl, L.","Hormonal and thermal induction of sex reversal in the bearded dragon (Pogona vitticeps, Agamidae)",2017,Zoologischer Anzeiger,271,,1,5,10.1016/j.jcz.2017.11.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033404315&doi=10.1016%2fj.jcz.2017.11.002&partnerID=40&md5=2a0e4c4ef6ed3d18cb9a126157521e02,D,C,No,Irrelevant (not behaviour),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Scopus,"Eby, R., Scoles, R., Hughes, B.B., Wasson, K.",Serendipity in a salt marsh: detecting frequent sea otter haul outs in a marsh ecosystem,2017,Ecology,98,11,2975,2977,10.1002/ecy.1965,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030465478&doi=10.1002%2fecy.1965&partnerID=40&md5=8db7e6e1398d78115560aec83bd6c84d,C,D,Maybe,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Scopus,"Pincheira-Donoso, D., Jara, M., Reaney, A., García-Roa, R., Saldarriaga-Córdoba, M., Hodgson, D.J.",Hypoxia and hypothermia as rival agents of selection driving the evolution of viviparity in lizards,2017,Global Ecology and Biogeography,26,11,1238,1246,10.1111/geb.12626,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030089337&doi=10.1111%2fgeb.12626&partnerID=40&md5=deeaf18ef5eebc88a183cc6bb20e9ea7,D,A,No,Irrelevant (not behaviour),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Scopus,"Krischek, C., Wimmers, K., Janisch, S., Wicke, M., Sharifi, A.R.",Temperature alterations during embryogenesis have a sex-dependent influence on growth properties and muscle metabolism of day-old chicks and 35-day-old broilers,2017,Animal,,,1,8,10.1017/S1751731117002701,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033389062&doi=10.1017%2fS1751731117002701&partnerID=40&md5=e4f07d21da146fdbd29cdda93c1356cd,D,A,No,Irrelevant (not behaviour),TRUE,,FALSE,FALSE,FALSE,FALSE,,
Scopus,"Wu, J., Yonezawa, T., Kishino, H.",Rates of Molecular Evolution Suggest Natural History of Life History Traits and a Post-K-Pg Nocturnal Bottleneck of Placentals,2017,Current Biology,27,19,3025,3.03E+08,10.1016/j.cub.2017.08.043,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030720692&doi=10.1016%2fj.cub.2017.08.043&partnerID=40&md5=692a8f5ac76f391d0efa420b5610982f,C,D,No,Irrelevant (not behaviour),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Scopus,"Barria, A.M., Bacigalupe, L.D.",Intraspecific geographic variation in thermal limits and acclimatory capacity in a wide distributed endemic frog,2017,Journal of Thermal Biology,69,,254,260,10.1016/j.jtherbio.2017.08.010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027835123&doi=10.1016%2fj.jtherbio.2017.08.010&partnerID=40&md5=8440fd1a3c28debb52a1b2a0320cba9d,C,D,Yes,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Scopus,"Roe, J.H., Wild, K.H., Hall, C.A.",Thermal biology of eastern box turtles in a longleaf pine system managed with prescribed fire,2017,Journal of Thermal Biology,69,,325,333,10.1016/j.jtherbio.2017.09.005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029783005&doi=10.1016%2fj.jtherbio.2017.09.005&partnerID=40&md5=07bba56490c1bf14b357fffef913a22e,C,D,Maybe,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Scopus,"Nafus, M.G., Germano, J.M., Swaisgood, R.R.",Cues from a common predator cause survival-linked behavioral adjustments in Mojave Desert tortoises (Gopherus agassizii),2017,Behavioral Ecology and Sociobiology,71,10,,,10.1007/s00265-017-2387-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030455715&doi=10.1007%2fs00265-017-2387-0&partnerID=40&md5=e856efcb76f051d31723f56b2896cf7d,D,C,Maybe,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Scopus,"Anders, J.L., Uchida, K., Watanabe, M., Tanio, I., Shimamoto, T., Hamada, M., Yanagawa, H., Koizumi, I.",Usefulness and limitation of a tiny light-temperature logger to monitor daily activity levels of arboreal squirrels in temperate areas,2017,Mammal Research,62,4,397,404,10.1007/s13364-017-0326-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029500801&doi=10.1007%2fs13364-017-0326-0&partnerID=40&md5=8ec449ece0315b5b432e7c31bf94f6a2,D,A,No,Irrelevant (not behaviour),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Scopus,"Hoole, C., McKechnie, A.E., Parker, D.M., Bennett, N.C.","The activity patterns of two sympatric shrew species from the Eastern Cape Province, South Africa",2017,Journal of Zoology,303,2,145,154,10.1111/jzo.12476,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020202122&doi=10.1111%2fjzo.12476&partnerID=40&md5=ad39f9083c114ef219eef947f3bd1d0b,D,A,Maybe,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Scopus,"Marteinson, S.C., Marcogliese, D.J., Verreault, J.",Multiple stressors including contaminant exposure and parasite infection predict spleen mass and energy expenditure in breeding ring-billed gulls,2017,Comparative Biochemistry and Physiology Part - C: Toxicology and Pharmacology,200,,42,51,10.1016/j.cbpc.2017.06.005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021447770&doi=10.1016%2fj.cbpc.2017.06.005&partnerID=40&md5=70c7c2e6beafbb0762266da0dce4950a,C,D,No,Irrelevant (not behaviour),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Scopus,"Molina, F.J., Leynaud, G.C.","Thermoconformity strategy in the freshwater turtle Hydromedusa tectifera (Testudines, Chelidae) in its southern distribution area",2017,Journal of Thermal Biology,69,,178,183,10.1016/j.jtherbio.2017.07.008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026655721&doi=10.1016%2fj.jtherbio.2017.07.008&partnerID=40&md5=038374b1750eef6741758fb081aed2dd,D,A,Maybe,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
